Fish_ID,Aquarium,Acclimation,MMR_Hypoxic_mg/h/g,MMR_Normoxic__mg/h/g,SMR_Hypoxic__mg/h/g,SMR_Normoxic__mg/h/g,sex,Weight_start,Weight_end,Length_start,Length_end,SGR,Weight_resp,MMR_Hypoxic_scaled,MMR_Normoxic_scaled,SMR_Hypoxic_scaled,SMR_Normoxic_scaled,AS_Hypoxic,AS_Normoxic,SGR_length
10fb,10,Hypoxia acclimated,0.463,0.969,0.213,0.158,F,0.23,0.69,22,30.5,1.89,0.54,0.149,0.312,0.075,0.056,0.074,0.256,0.56
10fg,10,Hypoxia acclimated,0.409,0.865,0.158,0.046,F,0.16,0.54,20,27,2.1,0.38,0.125,0.265,0.05,0.015,0.075,0.25,0.52
10fl,10,Hypoxia acclimated,0.52,0.88,0.214,0.272,F,0.21,0.87,21.5,29,2.45,0.55,0.168,0.284,0.076,0.096,0.092,0.188,0.52
10fp,10,Hypoxia acclimated,0.457,1.008,0.145,0.048,F,0.23,0.6,21.5,27.5,1.65,0.43,0.142,0.314,0.048,0.016,0.094,0.298,0.42
10mb,10,Hypoxia acclimated,0.595,0.8,0.021,0.282,M,0.13,0.14,17.5,18.5,0.13,0.14,0.158,0.213,0.005,0.067,0.153,0.146,0.1
10mg,10,Hypoxia acclimated,0.707,1.102,0.004,0.203,M,0.16,0.19,18.5,20.5,0.3,0.16,0.192,0.299,0.001,0.05,0.191,0.249,0.18
10ml,10,Hypoxia acclimated,0.448,0.744,0.01,0.152,M,0.12,0.11,18,16.5,-0.15,0.13,0.118,0.196,0.002,0.035,0.116,0.161,-0.15
10mp,10,Hypoxia acclimated,0.544,0.659,0.025,0.188,M,0.16,0.17,20,19.5,0.1,0.17,0.149,0.18,0.006,0.047,0.143,0.133,-0.04
11fb,11,Normoxia acclimated,0.579,1.276,0.205,0.429,F,0.21,0.19,20,21.5,-0.17,0.17,0.158,0.349,0.052,0.108,0.106,0.241,0.12
11fg,11,Normoxia acclimated,0.429,0.714,0.284,0.322,F,0.23,0.61,23,29,1.68,0.76,0.145,0.241,0.11,0.125,0.035,0.116,0.4
11fl,11,Normoxia acclimated,0.528,0.485,0.326,0.218,F,0.18,0.58,20.5,18.5,2.02,0.58,0.172,0.158,0.117,0.078,0.055,0.08,-0.18
11mb,11,Normoxia acclimated,1.095,1.727,0.274,0.686,M,0.1,0.08,16,16,-0.38,0.08,0.27,0.425,0.055,0.139,0.215,0.286,0
11mg,11,Normoxia acclimated,1.119,1.298,0.363,0.524,M,0.1,0.12,17,17.5,0.31,0.12,0.292,0.338,0.083,0.119,0.209,0.219,0.05
11ml,11,Normoxia acclimated,0.662,1.051,0.214,0.451,M,0.12,0.14,17,18,0.27,0.14,0.176,0.28,0.051,0.107,0.125,0.173,0.1
11mp,11,Normoxia acclimated,1.164,1.531,0.312,0.495,M,0.11,0.12,17,17.5,0.15,0.12,0.303,0.399,0.071,0.113,0.232,0.286,0.05
12fb,12,Hypoxia acclimated,0.457,0.558,0.177,0.221,F,0.17,0.62,19.5,27,2.23,0.44,0.143,0.174,0.059,0.073,0.084,0.101,0.56
12fg,12,Hypoxia acclimated,0.554,1.049,0.146,0.212,F,0.11,0.44,17.5,24.5,2.39,0.37,0.169,0.32,0.046,0.067,0.123,0.253,0.58
12fl,12,Hypoxia acclimated,0.582,1.014,0.169,0.238,F,0.16,0.38,19,24,1.49,0.32,0.174,0.303,0.051,0.072,0.123,0.231,0.4
12fp,12,Hypoxia acclimated,0.509,0.81,0.113,0.196,F,0.17,0.43,19.5,25,1.6,0.37,0.155,0.247,0.036,0.062,0.119,0.185,0.43
12ml,12,Hypoxia acclimated,0.741,1.118,0.072,0.309,M,0.12,0.14,18,18.5,0.27,0.13,0.195,0.295,0.017,0.072,0.178,0.223,0.05
12mp,12,Hypoxia acclimated,0.422,0.857,0.1,0.254,M,0.08,0.09,16,16.5,0.2,0.09,0.106,0.214,0.021,0.053,0.085,0.161,0.05
1fb,1,Hypoxia acclimated,0.619,0.528,0.219,0.305,F,0.16,0.3,19,22,1.08,0.28,0.182,0.155,0.064,0.089,0.118,0.066,0.25
1fg,1,Hypoxia acclimated,0.628,1.035,0.172,0.272,F,0.23,0.45,20.5,25.5,1.16,0.41,0.194,0.32,0.056,0.088,0.138,0.232,0.38
1fl,1,Hypoxia acclimated,0.641,0.769,0.087,0.149,F,0.24,0.57,22.5,28.5,1.49,0.52,0.205,0.246,0.03,0.052,0.175,0.194,0.41
1fp,1,Hypoxia acclimated,0.881,1.255,0.175,0.351,F,0.19,0.2,20.5,21.5,0.09,0.19,0.245,0.349,0.046,0.091,0.199,0.258,0.08
1mb,1,Hypoxia acclimated,1.234,1.097,0.268,0.533,M,0.1,0.12,16,18,0.31,0.11,0.318,0.282,0.059,0.118,0.259,0.164,0.2
1mg,1,Hypoxia acclimated,0.744,0.724,0.256,0.478,M,0.14,0.17,18.5,19,0.33,0.15,0.2,0.195,0.062,0.116,0.138,0.079,0.05
1ml,1,Hypoxia acclimated,1.227,1.214,0.328,0.505,M,0.13,0.14,17.5,18.5,0.13,0.12,0.32,0.316,0.075,0.115,0.245,0.201,0.1
1mp,1,Hypoxia acclimated,1.319,1.155,0.288,0.481,M,0.13,0.16,19.5,19.5,0.36,0.16,0.358,0.313,0.071,0.119,0.287,0.194,0
2fb,2,Normoxia acclimated,0.642,1.306,0.167,0.253,F,0.17,0.72,19,30,2.49,0.44,0.201,0.408,0.055,0.084,0.146,0.324,0.79
2fg,2,Normoxia acclimated,0.379,1.129,0.195,0.195,F,0.12,0.34,18.5,23,1.8,0.25,0.109,0.326,0.055,0.055,0.054,0.271,0.38
2fl,2,Normoxia acclimated,0.402,0.899,0.227,0.208,F,0.29,0.54,23.5,27.5,1.07,0.51,0.128,0.287,0.079,0.072,0.049,0.215,0.27
2fp,2,Normoxia acclimated,0.557,0.92,0.171,0.215,F,0.3,0.58,23.5,28.5,1.14,0.43,0.174,0.287,0.056,0.071,0.118,0.216,0.33
2mb,2,Normoxia acclimated,0.175,0.595,0.15,0.111,M,0.05,0.07,15.5,16,0.58,0.09,0.044,0.149,0.031,0.023,0.013,0.126,0.05
2mg,2,Normoxia acclimated,0.271,1.384,0.295,0.292,M,0.06,0.07,15.5,15.5,0.27,0.07,0.065,0.334,0.057,0.057,0.008,0.277,0
2ml,2,Normoxia acclimated,0.305,0.78,0.001,0.224,M,0.09,0.1,15.5,17.5,0.18,0.14,0.081,0.208,0,0.053,0.081,0.155,0.21
2mp,2,Normoxia acclimated,0.545,0.969,0.027,0.291,M,0.12,0.13,17,18,0.14,0.13,0.144,0.255,0.006,0.068,0.138,0.187,0.1
3fb,3,Hypoxia acclimated,0.641,1.123,0.286,0.327,F,0.22,0.58,21.5,26.5,1.67,0.45,0.201,0.352,0.096,0.109,0.105,0.243,0.36
3fg,3,Hypoxia acclimated,0.381,0.657,0.213,0.254,F,0.3,0.82,23.5,30,1.73,0.93,0.132,0.228,0.088,0.105,0.044,0.123,0.42
3fl,3,Hypoxia acclimated,0.482,0.897,0.244,0.283,F,0.22,0.69,21.5,27.5,1.97,0.72,0.161,0.3,0.093,0.108,0.068,0.192,0.42
3fp,3,Hypoxia acclimated,0.54,1.215,0.175,0.291,F,0.18,0.25,20.5,23,0.57,0.29,0.159,0.358,0.051,0.086,0.108,0.272,0.2
3mg,3,Hypoxia acclimated,0.341,0.798,0.442,0.548,M,0.11,0.12,18,18,0.15,0.12,0.089,0.208,0.101,0.125,-0.012,0.083,0
3ml,3,Hypoxia acclimated,0.755,1.197,0.292,0.572,M,0.12,0.12,17.5,18,0,0.11,0.194,0.308,0.065,0.127,0.129,0.181,0.05
3mp,3,Hypoxia acclimated,0.564,1.162,0.079,0.4,M,0.15,0.16,18.5,19,0.11,0.16,0.153,0.315,0.02,0.099,0.133,0.216,0.05
4fb,4,Normoxia acclimated,NA,0.767,0.221,0.302,F,0.16,0.52,20,26.5,2.03,0.3,NA,0.227,0.066,0.09,NA,0.137,0.49
4fg,4,Normoxia acclimated,0.461,0.774,0.283,0.329,F,0.23,0.8,22,30.5,2.15,0.72,0.154,0.259,0.108,0.126,0.046,0.133,0.56
4fl,4,Normoxia acclimated,0.493,0.972,0.188,0.3,F,0.19,0.35,20,25,1.05,0.39,0.152,0.299,0.06,0.096,0.092,0.203,0.38
4fp,4,Normoxia acclimated,0.523,0.964,0.181,0.301,F,0.17,0.62,20,27,2.23,0.43,0.163,0.3,0.06,0.099,0.103,0.201,0.52
4mb,4,Normoxia acclimated,0.901,1.09,0.185,0.608,M,0.09,0.01,16,17,-3.79,0.1,0.229,0.277,0.04,0.131,0.189,0.146,0.1
4mg,4,Normoxia acclimated,0.682,0.928,0.06,0.592,M,0.1,0.12,16.5,17,0.31,0.11,0.176,0.239,0.013,0.131,0.163,0.108,0.05
4ml,4,Normoxia acclimated,0.738,0.647,0.26,0.479,M,0.11,0.13,17,18,0.29,0.12,0.192,0.169,0.059,0.109,0.133,0.06,0.1
4mp,4,Normoxia acclimated,1.081,1.227,0.075,0.714,M,0.09,0.09,16,16,0,0.09,0.271,0.307,0.016,0.15,0.255,0.157,0
5fb,5,Hypoxia acclimated,0.611,0.912,0.202,0.314,F,0.18,0.23,20,22.5,0.42,0.32,0.183,0.273,0.061,0.095,0.122,0.178,0.2
5fg,5,Hypoxia acclimated,0.525,0.706,0.158,0.316,F,0.13,0.43,18,25.5,2.06,0.4,0.162,0.218,0.051,0.102,0.111,0.116,0.6
5fl,5,Hypoxia acclimated,0.758,1.412,0.122,0.253,F,0.19,0.38,20.5,24,1.2,0.36,0.23,0.429,0.038,0.079,0.192,0.35,0.27
5fp,5,Hypoxia acclimated,0.55,0.8,0.207,0.15,F,0.19,0.42,21,25.5,1.37,0.42,0.171,0.248,0.068,0.049,0.103,0.199,0.33
5mb,5,Hypoxia acclimated,0.266,0.427,0.074,0.036,M,0.07,0.08,12.5,16,0.23,0.09,0.067,0.107,0.015,0.008,0.052,0.099,0.43
5mg,5,Hypoxia acclimated,0.688,0.806,0.068,0.532,M,0.08,0.09,15,15.5,0.2,0.09,0.172,0.202,0.014,0.111,0.158,0.091,0.06
5ml,5,Hypoxia acclimated,1.057,1.851,0.169,0.486,M,0.1,0.12,16.5,18,0.31,0.12,0.275,0.482,0.038,0.111,0.237,0.371,0.15
5mp,5,Hypoxia acclimated,0.894,0.91,0.254,0.649,M,0.11,0.12,17.5,18,0.15,0.12,0.233,0.237,0.058,0.148,0.175,0.089,0.05
6fb,6,Normoxia acclimated,0.439,0.493,0.014,0.171,F,0.12,0.34,16.5,24,1.8,0.4,0.135,0.152,0.005,0.055,0.13,0.097,0.65
6fg,6,Normoxia acclimated,0.596,0.831,0.216,0.324,F,0.11,0.45,17,25.5,2.43,0.37,0.182,0.253,0.068,0.102,0.114,0.151,0.7
6fl,6,Normoxia acclimated,0.559,0.736,0.215,0.294,F,0.13,0.65,19.5,27.5,2.77,0.54,0.18,0.237,0.076,0.104,0.104,0.133,0.59
6fp,6,Normoxia acclimated,0.608,0.661,0.171,0.329,F,0.12,0.33,17,23.5,1.74,0.28,0.178,0.194,0.05,0.096,0.128,0.098,0.56
6mb,6,Normoxia acclimated,0.968,1.382,0.155,0.698,M,0.07,0.09,14.5,16,0.43,0.08,0.238,0.34,0.031,0.141,0.207,0.199,0.17
6mg,6,Normoxia acclimated,0.832,1.164,0.176,0.358,M,0.1,0.11,16,17,0.16,0.06,0.197,0.275,0.033,0.067,0.164,0.208,0.1
6mp,6,Normoxia acclimated,0.253,0.732,0.15,0.206,M,0.09,0.09,15.5,16,0,0.09,0.063,0.183,0.031,0.043,0.032,0.14,0.05
7fb,7,Normoxia acclimated,0.876,1.241,0.119,0.341,F,0.2,0.25,20,21.5,0.38,0.21,0.247,0.35,0.032,0.091,0.215,0.259,0.12
7fg,7,Normoxia acclimated,0.272,0.66,0.229,0.163,F,0.22,1.11,22.5,32,2.79,0.81,0.093,0.225,0.091,0.065,0.002,0.16,0.61
7fl,7,Normoxia acclimated,0.666,1.026,0.116,0.274,F,0.2,0.63,20.5,27,1.98,0.45,0.209,0.322,0.039,0.091,0.17,0.231,0.47
7fp,7,Normoxia acclimated,0.488,0.794,0.247,0.279,F,0.25,0.99,22.5,31,2.37,0.66,0.161,0.263,0.092,0.104,0.069,0.159,0.55
7mb,7,Normoxia acclimated,0.613,1.444,0.098,0.194,M,0.13,0.15,18,19,0.25,0.14,0.163,0.384,0.023,0.046,0.14,0.338,0.09
7mg,7,Normoxia acclimated,1.009,0.957,0.336,0.747,M,0.14,0.15,18,19.5,0.12,0.14,0.269,0.255,0.08,0.178,0.189,0.077,0.14
7ml,7,Normoxia acclimated,0.769,1.109,0.108,0.514,M,0.1,0.1,16,16.5,0,0.11,0.198,0.285,0.024,0.114,0.174,0.171,0.05
7mp,7,Normoxia acclimated,0.613,0.947,0.274,0.362,M,0.15,0.18,19,19.5,0.31,0.17,0.168,0.259,0.069,0.091,0.099,0.168,0.04
8fb,8,Hypoxia acclimated,0.724,1.089,0.16,0.283,F,0.21,0.35,21.5,25,0.88,0.34,0.218,0.328,0.049,0.087,0.169,0.241,0.26
8fg,8,Hypoxia acclimated,0.453,0.599,0.305,0.306,F,0.19,0.7,21,29.5,2.25,0.83,0.155,0.205,0.122,0.122,0.033,0.083,0.59
8fl,8,Hypoxia acclimated,0.539,0.807,0.227,0.268,F,0.2,0.79,20.5,31,2.37,0.74,0.181,0.271,0.088,0.103,0.093,0.168,0.71
8fp,8,Hypoxia acclimated,0.474,0.821,0.207,0.24,F,0.2,0.49,22,26,1.54,0.49,0.15,0.26,0.071,0.082,0.079,0.178,0.29
8mb,8,Hypoxia acclimated,0.792,1.261,0.187,0.445,M,0.11,0.16,18,18.5,0.65,0.11,0.204,0.325,0.042,0.099,0.162,0.226,0.05
8mg,8,Hypoxia acclimated,0.764,1.109,0.274,0.487,M,0.11,0.13,16,18,0.29,0.12,0.199,0.289,0.062,0.111,0.137,0.178,0.2
8ml,8,Hypoxia acclimated,0.809,0.989,0.104,0.414,M,0.13,0.15,18,19,0.25,0.15,0.217,0.266,0.025,0.101,0.192,0.165,0.09
8mp,8,Hypoxia acclimated,0.577,1.013,0.157,0.289,M,0.21,0.31,22.5,25,0.67,0.31,0.172,0.301,0.047,0.087,0.125,0.214,0.18
9fb,9,Normoxia acclimated,0.534,0.61,0.193,0.299,F,0.17,0.44,20.5,26,1.64,0.34,0.161,0.184,0.059,0.092,0.102,0.092,0.41
9fl,9,Normoxia acclimated,0.528,1.015,0.142,0.248,F,0.2,0.59,21,28,1.87,0.42,0.164,0.315,0.046,0.081,0.118,0.234,0.5
9fp,9,Normoxia acclimated,0.562,0.727,0.194,0.251,F,0.19,0.82,20,29.5,2.52,0.57,0.182,0.236,0.069,0.09,0.113,0.146,0.67
9mb,9,Normoxia acclimated,0.492,1.153,0.136,0.201,M,0.11,0.12,17,18,0.15,0.12,0.128,0.3,0.031,0.046,0.097,0.254,0.1
9mg,9,Normoxia acclimated,0.998,1.013,0.415,0.524,M,0.1,0.13,17,18,0.45,0.12,0.26,0.264,0.094,0.119,0.166,0.145,0.1
9ml,9,Normoxia acclimated,0.555,0.957,0.24,0.513,M,0.12,0.13,19,18.5,0.14,0.13,0.146,0.252,0.056,0.12,0.09,0.132,-0.05
9mp,9,Normoxia acclimated,0.676,1.093,0.223,0.453,M,0.13,0.17,18,19,0.46,0.16,0.183,0.297,0.055,0.112,0.128,0.185,0.09
